운동 동작,대분류,난이도,부위,도구,목적,설명,영상
양 발로 짐볼 누르기 3,균형 /닫힌사슬운동 /능동,쉬움,고관절&골반|발목&발|무릎,"매트|  
큰공|  
벽",균형,벽에 짐볼을 대고 반듯이 누워 두 다리를 짐볼에 대고 공을 밀어 올려주세요. 무릎이 직각이 되는 지점에서 몸은 움직이지 않고 발뒤꿈치로 짐볼을 벽 쪽으로 눌러주세요. 허벅지와 엉덩이에 힘이 들어오는 것을 느껴주세요. 허리는 꺾이지 않도록 코어에 힘을 주시고 목과 어깨에 긴장은 빼주세요. 무릎의 자세도 흔들리지 않아야 합니다. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1167/MG/9b5f527e2be33e85d9441842d0d55728.mp4
양 발로 짐볼 누르기 4,균형 /닫힌사슬운동 /능동,쉬움,고관절&골반|발목&발|무릎,"매트|  
큰공|  
벽",균형,벽에 짐볼을 대고 반듯이 누워 두 다리를 짐볼에 대고 공을 밀어 올려주세요. 무릎이 직각이 되는 지점에서 몸은 움직이지 않고 발뒤꿈치로 짐볼을 벽 쪽으로 눌렀다가 힘을 빼주세요. 짐볼은 떨어지지 않아야 합니다. 허벅지와 엉덩이에 힘이 들어오는 것을 느껴주세요. 허리는 꺾이지 않도록 코어에 힘을 주시고 목과 어깨에 긴장은 빼주세요. 무릎의 자세도 흔들리지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1168/MG/51106f6ea7117133caa0bb4e33968592.mp4
양 손 머리 위로 올리기,관절 움직임 /열린사슬운동 /능동,매우 쉬움,어깨,의자,관절 움직임,의자에 앉아 양손을 깍지껴서 머리위로 들고 손바닥이 천장을 향하게 돌려 주세요. 양 옆구리와 어깨가 스트레칭 되는 것을 느끼며 양 팔을 위로 밀어줍니다. 머리부터 엉덩이까지는 일직선을 유지해주세요. 어깨에 통증이 생기지 않아야 합니다. 일정시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/927/MG/79ea6757a91e536286774d70fcbdf798.mp4
양 옆으로 한 발 점프,기능적 운동 /열린사슬운동 /닫힌사슬운동 /능동,어려움,고관절&골반|발목&발|무릎,-,기능적 운동,"바르게 선 자세에서 엉덩이와 무릎을 살짝 굽힌 다음 한쪽 다리의 발목 , 무릎, 엉덩이를 펴 옆으로 점프합니다. 반대쪽 다리로 착지하고 그 다리를 이용해 다시 원래 위치로 점프해 돌아옵니다. 다리가 착지할 때 무릎이 발이 같은 방향으로 향해 있을 수 있도록 합니다. 관절이나 허리에 통증이 생기지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아옵니다.",https://resources.mora.kr/static/exercise/media/571/MG/8f8bb0244de883b3ddbfea5da70b4677.mp4
양 팔 들고 옆구리 스트레칭,관절 움직임 /열린사슬운동 /능동,매우 쉬움,등|허리|어깨,-,관절 움직임,바로 선 자세에서 양손을 잡아 머리 위로 들어주세요. 팔이 귀 가까이 오도록 해준 다음 스트레칭할 옆구리의 반대쪽으로 몸을 기울여주세요. 날개뼈 바깥쪽부터 옆구리까지 스트레칭 되는 것을 느껴주세요. 어깨가 올라가지 않게 주의해 주세요. 어깨나 허리에 통증이 생기지 않아야 합니다. 반대쪽도 스트레칭해 주세요. 일정 시간 양쪽을 스트레칭한 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1320/MG/ffbed00ecac3997d4d38f592c9adaafe.mp4
양손 물통 잡고 계단 오르면서 팔 위로 뻗기,기능적 운동 /닫힌사슬운동 /능동,보통,고관절&골반|발목&발|무릎|복부|전신|어깨,"스텝박스|  
무게",기능적 운동,"계단을 앞에 두고 양손에 물통을 잡고 서서 운동할 다리를 계단 위에 올려주세요. 계단 위에 발로 바닥을 밀면서 반대 다리를 들어 올려주세요. 동시에 양 팔을 천장으로 뻗어주세요. 제자리로 돌아간 다음 반복해 주세요. 계단을 오를 때 엉덩이와 허벅지에 힘이 들어오고, 양 팔을 들 때 어깨와 등에 힘이 들어올 거예요. 코어에 힘을 주어 자세가 흐트러지거나 넘어지지 않도록 주의하세요. 관절에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/2290/MG/80cbb97c7317a1ac401f953c86dd340b.mp4
양손 물통 잡고 번갈아 계단 오르며 위로 팔 뻗기,기능적 운동 /닫힌사슬운동 /능동,보통,고관절&골반|발목&발|무릎|복부|전신|어깨,"스텝박스|  
무게",기능적 운동,"계단을 앞에 두고 양손에 물통을 잡고 서서 운동할 다리를 계단 위에 올려주세요. 계단 위에 발로 바닥을 밀면서 반대 다리를 들어 올려주세요. 동시에 반대 팔을 천장으로 뻗어주세요. 제자리로 돌아간 다음 반대쪽도 똑같이 반복해 주세요. 계단을 오를 때 엉덩이와 허벅지에 힘이 들어오고, 양 팔을 들 때 어깨와 등에 힘이 들어올 거예요. 코어에 힘을 주어 자세가 흐트러지거나 넘어지지 않도록 주의하세요. 관절에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.",https://resources.mora.kr/static/exercise/media/2291/MG/5a67fa42591b4569029417b896f37ab1.mp4
양손으로 수건 비틀기,근력 /열린사슬운동 /능동,매우 쉬움,손목&손,"수건|  
의자|  
테이블|  
침대",근력,팔꿈치를 굽혀 책상 위에 팔을 올리고 양손으로 수건을 잡아주세요. 양손 중 한쪽은 손바닥을 몸 쪽으로 다른 한쪽은 앞쪽으로 손목을 돌려 수건을 비틀어 주세요. 반대쪽으로도 움직여 주세요. 아래팔에 힘이 들어올 거예요. 몸이나 어깨를 비틀거나 팔꿈치가 책상에서 떨어지지 않도록 해주세요. 손목과 팔꿈치에 통증이 생기지 않아야 합니다. 일정 횟수 반복 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2053/MG/dd6f174176ba944169b55b3f7169b0ec.mp4
양쪽 고관절 굽힘 1,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반|허리,매트,관절 움직임,바로누운자세에서 양쪽무릎을 굽힙니다. 한쪽 다리씩 고관절을 굽혀 가슴쪽으로 가져와서 양팔로 두다리의 허벅지를 감싸고 최대한 가슴쪽으로 당겨줍니다. 일정시간 유지한 후 한쪽 다리씩 내려 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/7/MG/9a7fcecb6aae24de2fdd77e057f362ff.mp4
양쪽 고관절 굽힘 2,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반|허리,매트,관절 움직임,바로누운자세에서 양쪽무릎을 굽힙니다. 한쪽씩 고관절을 굽혀 가슴쪽으로 가져와서 양팔로 두다리의 정강이를 감싸고 최대한 가슴쪽으로 당겨줍니다. 일정 시간 유지 후 한 다리씩 내려 다시 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/8/MG/4fdb4e6440e06e1fa0412c40edcb39ba.mp4
양쪽 고관절 굽힘 3,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반,매트,관절 움직임,무릎을 굽히고 천장을 바라보고 눕습니다. 고관절을 굽혀 양쪽 무릎을 몸쪽 가까이로 가져오고 양 손으로 다리나 발을 감싸잡아주세요. 양쪽무릎은 넓게 벌리고 잡은 손으로 무릎을 바닥쪽으로 당겨줍니다. 무릎을 겨드랑이쪽으로 당겨준다 생각하세요. 허벅지 안쪽이 스트레칭 되는 것을 느껴주세요. 일정시간 유지 후 한 다리 씩 내려 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/9/MG/387efc961afc4f4f9e9d8e5cd14f7e25.mp4
양쪽 고관절 굽힘 4,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반,매트,관절 움직임,무릎을 굽히고 천장을 바라보고 눕습니다. 고관절을 굽혀 양쪽 무릎을 몸쪽 가까이로 가져오고 양 손으로 다리를 감싸잡습니다.양쪽무릎은 넓게 벌리고 잡은 손으로 무릎을 바닥쪽으로 당겨줍니다. 무릎을 겨드랑이쪽으로 당겨준다 생각하세요. 허벅지 안쪽과 사타구니가 스트레칭 되는 것을 느껴주시고 전체몸을 좌우로 움직여 주세요. 운동 후 다시 시작자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/10/MG/4f84593ea20e09813ba8c118be6afb3d.mp4
양쪽 고관절 내회전 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,다리를 펴고 바로 누운자세에서 양쪽 발목을 세웁니다. 뒤꿈치는 바닥에 붙인 채 두 다리를 가능한 범위까지 안쪽으로 돌립니다. 무릎은 계속 펴져 있어야 합니다. 고관절의 내회전을 하는 동작입니다. 움직임 중에 골반이나 허리가 크게 움직이지 않도록 주의하세요. 일정 횟수 반복 후 편안한 자세로 돌아와 운동을 마무리 합니다.,https://resources.mora.kr/static/exercise/media/41/MG/d804171a8c7234fef73c379576ddd199.mp4
양쪽 고관절 모음,근력 /닫힌사슬운동 /능동,매우 쉬움,고관절&골반,"매트|  
쿠션",근력,다리를 굽혀 누운 자세에서 무릎 사이에 둔 쿠션을 눌러주세요. 안쪽 허벅지에 힘이 들어오는 것을 느낄 수 있습니다. 허리나 골반이 움직이지 않게 주의하세요. 일정 시간 유지한 후 힘을 빼 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/410/MG/095be0f63f576f731acbc8efbae8c2b0.mp4
양쪽 고관절 모음 2,근력 /열린사슬운동 /능동,매우 쉬움,고관절&골반,"매트|  
쿠션",근력,다리를 펴고 누운 자세에서 발 사이에 쿠션을 두고 발을 모아 눌러주세요. 허벅지 안쪽근육의 힘을 사용하는 운동입니다. 무릎이나 허리에 통증은 나타나지 않아야 합니다. 일정 시간 유지 후 힘을 빼 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/413/MG/8c2a4346a81ee424a0d2da5abcc71449.mp4
양쪽 고관절 모음 3,근력 /열린사슬운동 /능동,매우 쉬움,고관절&골반,"매트|  
쿠션",근력,다리를 펴고 누운 자세에서 발 사이에 쿠션을 여러 개 두고 발을 모아 눌러주세요. 다리가 골반 너비보다 넓게 둔 상태에서 운동합니다. 허벅지 안쪽근육의 힘을 사용하는 운동입니다. 무릎이나 허리에 통증은 나타나지 않아야 합니다. 일정 시간 유지 후 힘을 빼 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/414/MG/d64f505e80d439732a1ce2cd4ed267fa.mp4
양쪽 고관절 모음 4,근력 /열린사슬운동 /능동,매우 쉬움,고관절&골반,"매트|  
쿠션",근력,다리를 펴고 누운 자세에서 발 사이에 쿠션을 여러 개 두고 발을 모아 눌렀다가 놓아주세요. 다리가 골반 너비보다 넓게 둔 상태에서 운동합니다. 허벅지 안쪽근육의 힘을 사용하는 운동입니다. 무릎이나 허리에 통증은 나타나지 않아야 합니다. 일정횟수 반복 후 힘을 빼 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/415/MG/e3a7220f7f557fc842e19465c14f4e74.mp4
양쪽 고관절 벌림,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,"매트|  
수건",관절 움직임,잘 미끄러지는 바닥에서 양 발아래 수건을 두고 골반너비로 다리를 벌리고 누워주세요.수건을 눌러 바깥쪽으로 다리를 벌렸다가 제자리로 돌아옵니다. 엉덩이 옆쪽 근육을 사용하는 고관절 벌림 운동입니다. 무릎은 항상 천장을 향하도록 하고 골반과 허리의 자세가 흐트러지지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/470/MG/7c53b1608ed7987acef3eccbfd4c2593.mp4
양쪽 고관절 벌림 2,근력 /열린사슬운동 /능동,쉬움,고관절&골반,"탄력밴드|  
매트|  
수건",근력,수건이 잘 미끄러지는 바닥에서 허벅지에는 탄력밴드를 감고 양발 아래에는 수건을 두어 누워주세요. 수건을 누르고 밴드를 밀면서 바깥쪽으로 다리를 벌렸다가 천천히 제자리로 돌아옵니다. 엉덩이 옆쪽 근육을 사용하는 고관절 벌림 운동입니다. 무릎은 항상 천장을 향하도록 하고 골반과 허리의 자세가 흐트러지지 않게 주의하세요. 일정 횟수 반복 후 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/472/MG/862fc615f4ba1b87a49ceb8f89454264.mp4
양쪽 고관절 외회전 1,관절 움직임 /열린사슬운동 /수동,매우 쉬움,고관절&골반,매트,관절 움직임,바로 누운 자세에서 다리를 굽힌 뒤 양 발을 붙여 양쪽 무릎을 바깥쪽 바닥으로 내립니다.양쪽 고관절을 외회전 하면서 안쪽 허벅지에 스트레칭되는 느낌을 느낍니다.동작 중에는 골반과 허리가 바닥에서 뜨지 않도록 주의 하세요. 자세를 일정시간 유지한 후 시작 자세로 돌아갑니다.,https://resources.mora.kr/static/exercise/media/19/MG/f6f5e2aeb77967acf2df3a4031f9a53b.mp4
양쪽 고관절 외회전 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,바로 누운 자세에서 다리를 굽힌 뒤 양 발을 붙여 양쪽 무릎을 바깥쪽 바닥으로 내렸다가 다시 다리를 모아줍니다. 고관절 외회전 동작으로 내리는 중에는 허벅지 안쪽의 스트레칭을 느끼고 모아줄 때에는 근육의 수축을 느껴줍니다. 동작 중에는 골반과 허리가 바닥에서 뜨지 않도록 합니다. 일정 횟수 반복 후 시작자세로 돌아가 운동을 마무리합니다.,https://resources.mora.kr/static/exercise/media/20/MG/2f4300141719c4308ff61cdf461543cd.mp4
양쪽 고관절 외회전 3,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,다리를 펴고 바로 누운자세에서 양쪽 발목을 세웁니다. 뒤꿈치는 바닥에 붙인 채 두 다리를 가능한 범위까지 바깥쪽으로 돌립니다. 무릎은 계속 펴져 있어야 합니다. 고관절의 외회전을 하는 동작입니다. 움직임 중에 골반이나 허리가 크게 움직이지 않도록 주의하세요. 일정 횟수 반복 후 편안한 자세로 돌아와 운동을 마무리 합니다.,https://resources.mora.kr/static/exercise/media/42/MG/6d3f5654c23742992a71c84bb0dac9ab.mp4
양쪽 고관절 외회전 4,근력 /닫힌사슬운동 /능동,쉬움,고관절&골반,"탄력밴드|  
매트",근력,허벅지에 탄력밴드를 감고 무릎을 굽힌 채 누워주세요. 양쪽 무릎을 옆으로 내려 밴드를 밀었다가 천천히 돌아옵니다. 엉덩이에서 힘쓰는 것을 느낄 수 있습니다. 운동 시 코어에 힘을 주어 골반과 허리가 움직이지 않도록 해주세요. 일정횟수 반복 후 시작자세로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/409/MG/d153ee1220488b94a4ab08e36cc55cc2.mp4
양쪽 고관절 회전 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,다리를 펴고 바로 누운자세에서 양쪽 발목을 세웁니다. 뒤꿈치는 바닥에 붙인 채 두 다리를 가능한 범위에서 안쪽부터 바깥쪽으로 돌립니다. 무릎은 계속 펴져 있어야 합니다. 고관절의 외회전을 하는 동작입니다. 움직임 중에 골반이나 허리가 크게 움직이지 않도록 주의하세요. 일정 횟수 반복 후 편안한 자세로 돌아와 운동을 마무리 합니다.,https://resources.mora.kr/static/exercise/media/43/MG/0a4c122e31a41e496a58dffb5cda78ec.mp4
양쪽 대각선으로 윗몸일으키기,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
의자",근력,다리를 의자 위에 올리고 누운 자세에서 턱을 당겨주세요. 팔을 다리 옆으로 뻗으면서 머리와 등을 바닥에서 들어주세요. 반대쪽 다리 옆으로 손을 옮기면서 양쪽으로 번갈아 움직여주세요. 배의 힘으로 동작을 반복해 주세요. 엉덩이가 바닥에서 떨어지거나 허리가 꺾이지 않아야 합니다. 허리에 통증이 생기지 않도록 주의하세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1795/MG/56c45c6b40b42a19739f05062bdb2593.mp4
양쪽 대각선으로 윗몸일으키기 2,근력 /열린사슬운동 /능동,쉬움,복부,"매트|  
의자",근력,다리를 의자 위에 올리고 누운 자세에서 턱을 당겨주세요. 팔을 가슴 위로 교차하고 머리와 등을 바닥에서 들어 대각선 방향으로 올라왔다가 반대쪽으로 몸을 돌려 올려주면서 양쪽으로 움직여주세요. 배의 힘으로 동작을 반복해 주세요. 엉덩이가 바닥에서 떨어지거나 허리가 꺾이지 않아야 합니다. 허리에 통증이 생기지 않도록 주의하세요. 일정 횟수 반복 후 천천히 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/1798/MG/17570de1eb6a7271837bf02edd1c8823.mp4
양쪽 무릎 굽힘,근력 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
쿠션",근력,바로 누운 자세에서 쿠션을 허벅지와 종아리 사이에 둡니다. 양쪽 뒤꿈치를 엉덩이 쪽으로 당겨 쿠션을 눌러주세요. 허벅지 뒤쪽에서 힘이 들어오는 것을 느낄 수 있습니다. 골반이나 허리는 움직이지 않도록 합니다. 일정 시간 유지 후 천천히 다리를 펴 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/411/MG/07ae17c30e64cb70f224a79f085c0061.mp4
양쪽 무릎 번갈아 폈다 굽히기,기능적 운동 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
수건",기능적 운동,수건이 잘 미끄러지는 바닥에서 양발에 수건을 두고 누워 통증이 없는 범위에서 가능한 만큼 무릎을 번갈아 폈다가 굽혀주세요. 허벅지 근육을 사용하여 무릎을 전체 범위로 움직여 주는 동작입니다. 무릎은 항상 천장을 향하도록 하고 코어에 힘을 주어 허리나 골반이 움직이지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아가 마무리하세요.,https://resources.mora.kr/static/exercise/media/464/MG/6ee7414225d773c6f29e2e66d57dcb77.mp4
양쪽 무릎 번갈아 폈다 굽히기 2,기능적 운동 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
수건",기능적 운동,수건이 잘 미끄러지는 바닥에서 양발에 수건을 두고 앉아 통증이 없는 범위에서 가능한 만큼 무릎을 번갈아 폈다가 굽혀주세요. 허벅지 근육을 사용하여 무릎을 전체 범위로 움직여 주는 동작입니다. 무릎은 항상 천장을 향하도록 하고 코어에 힘을 주어 허리나 골반이 움직이지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아가 마무리하세요.,https://resources.mora.kr/static/exercise/media/465/MG/dd4c9717108f33d5ccfc776898facf1a.mp4
양쪽 무릎 폈다 굽히기,관절 움직임 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
수건",관절 움직임,수건이 잘 미끄러지는 바닥에서 양발에 수건을 두고 누워 무릎에 통증이 없는 범위에서 가능한 만큼 미끄러지듯 무릎을 폈다가 굽혀주세요. 허벅지 근육을 사용하여 무릎을 전체 범위로 움직여 주는 동작입니다. 무릎은 항상 천장을 향하도록 하고 코어에 힘을 주어 허리나 골반이 움직이지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아가 마무리하세요.,https://resources.mora.kr/static/exercise/media/463/MG/63aef1e320c3923ded87971c4d24649b.mp4
양쪽 무릎 폈다 굽히기 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,무릎,"매트|  
수건",관절 움직임,수건이 잘 미끄러지는 바닥에서 양발에 수건을 두고 앉아서 통증이 없는 범위에서 가능한 만큼 무릎을 폈다가 굽혀주세요. 허벅지 근육을 사용하여 무릎을 전체 범위로 움직여 주는 동작입니다. 무릎은 항상 천장을 향하도록 하고 코어에 힘을 주어 허리나 골반이 움직이지 않도록 주의하세요. 일정 횟수 반복 후 시작자세로 돌아가 마무리하세요.,https://resources.mora.kr/static/exercise/media/466/MG/ae49080a795dcadf22b33276824c1caf.mp4
양쪽 발목 바깥번짐 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,발목&발,"매트|  
수건",관절 움직임,바로 누운 자세에서 양 발을 바깥쪽으로 돌리며 옆으로 굽혀주세요 . 가능한 범위까지 움직여줍니다 . 다리는 움직이지 않도록 주의하세요. 말아 놓은 수건을 발목 밑에 두면 움직임이 좀 더 편할 수 있습니다. 비골근을 사용하여 발목의 움직임과 근력향상에 도움을 주는 동작입니다. 일정시간 유지 한 후 제자리로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/55/MG/222f004680a41801bcb8e638405b591a.mp4
양쪽 발목 바깥번짐 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,발목&발,"매트|  
수건",관절 움직임,바로 누운 자세에서 양 발을 바깥쪽으로 돌리며 옆으로 굽혀주세요 . 가능한 범위까지 움직였다가 돌아옵니다 . 다리는 움직이지 않도록 주의하세요. 말아 놓은 수건을 발목 밑에 두면 움직임이 좀 더 편할 수 있습니다. 비골근을 사용하여 발목의 움직임과 근력향상에 도움을 주는 동작입니다. 일정횟수 반복 한 후 제자리로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/56/MG/46e13ad24f39fd34afc06e9528cd15b3.mp4
양쪽 발목 번갈아 들기,근력 /열린사슬운동 /닫힌사슬운동 /능동,매우 쉬움,발목&발,매트,근력,골반 너비로 발을 두고 무릎을 굽혀 누운 자세에서 한 발은 뒤꿈치를 들어주고 반대 발은 발의 앞부분을 들어줍니다. 양발을 번갈아 움직여 주세요. 종아리와 정강이에 근육을 사용하여 발목을 움직여 주는 운동입니다. 무릎은 계속 천장을 향하도록 합니다. 일정횟수 반복한 후 천천히 뒤꿈치를 내려 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/426/MG/0e9a5fcf92c2cb76856479e29c9e02c0.mp4
양쪽 발목 안쪽번짐 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,발목&발,"매트|  
수건",관절 움직임,바로 누운 자세에서 양 발이 마주하듯이 안쪽으로 굽혀주세요 . 가능한 범위까지 움직여 유지합니다. 다리는 움직이지 않도록 주의하세요. 말아 놓은 수건을 발목 밑에 두면 움직임이 좀 더 편할 수 있습니다. 경골근을 사용하여 발목의 움직임과 근력향상에 도움을 주는 동작입니다. 일정시간 유지한 후 제자리로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/53/MG/7bddb263dde0d901bceba3c91ec27357.mp4
양쪽 발목 안쪽번짐 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,발목&발,"매트|  
수건",관절 움직임,바로 누운 자세에서 양 발이 마주하듯이 안쪽으로 굽혀주세요 . 가능한 범위까지 움직였다 돌아옵니다. 다리는 움직이지 않도록 주의하세요. 말아 놓은 수건을 발목 밑에 두면 움직임이 좀 더 편할 수 있습니다. 경골근을 사용하여 발목의 움직임과 근력향상에 도움을 주는 동작입니다. 일정횟수 반복한 후 제자리로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/54/MG/f1b4a4137e04bf45e80bde532b6a374f.mp4
양쪽 발목 회전 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,발목&발,"매트|  
수건",관절 움직임,바로 누운 자세에서 양 발을 함께 바깥쪽으로 돌려줍니다. 가능한 범위 안에서 움직여주시면 됩니다. 수건을 말아 발목 아래에 두면 발목의 움직임을 좀 더 편하게 하실 수 있습니다. 일정 횟수 반복 후 발에 힘을 빼고 운동을 마무리 합니다.,https://resources.mora.kr/static/exercise/media/44/MG/c4cb41597f8096e77ae087511fbd3a53.mp4
양쪽 손목 굽힘 근육 스트레칭,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,손목&손,매트,관절 움직임,앉은 자세에서 양손의 손가락을 몸 쪽으로 향하게 하면서 손바닥을 바닥에 두고 몸을 뒤로 가져와 아래팔에서 당기는 느낌이 들도록 해주세요. 손목에서 통증이 생기지 않아야 합니다. 손바닥에서 아래팔까지 스트레칭 되는 것을 느껴주세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2146/MG/1fe9c1c2bd940eaf04b1cbe07d6b0e79.mp4
양쪽 손목 폄 근육 스트레칭,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,손목&손,매트,관절 움직임,앉은 자세에서 양손의 손가락을 몸 쪽으로 향하게 하면서 손등을 바닥에 두고 몸을 뒤로 가져와 아래팔에서 당기는 느낌이 들도록 해주세요. 손목에서 통증이 생기지 않아야 합니다. 손등에서 아래팔까지 스트레칭 되는 것을 느껴주세요. 일정 시간 유지 후 시작자세로 돌아오세요.,https://resources.mora.kr/static/exercise/media/2147/MG/c866824f8cc7ef0ecb27a2f820687fca.mp4
양쪽 안쪽 허벅지 스트레칭 1,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,매트,관절 움직임,앉은 자세에서 다리를 양쪽으로 가능한 만큼 벌려주세요. 할 수 있는 만큼 상체를 앞으로 숙여줍니다. 허벅지 안쪽에 스트레칭 되는 것을 느껴주세요. 스트레칭 중 골반이나 허리에 자세가 흐트러지거나 통증이 생기지 않도록 주의하세요. 편한 호흡과 함께 자세를 일정시간 유지 한 뒤 시작 자세로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/134/MG/28597aa6ee64b0acc828f164147297fc.mp4
양쪽 안쪽 허벅지 스트레칭 2,관절 움직임 /열린사슬운동 /능동,매우 쉬움,고관절&골반,침대,관절 움직임,침대에 팔을 기대고 다리를 옆으로 가능한 만큼 벌려줍니다. 골반은 안쪽으로 말아 스트레칭의 강도를 높입니다. 안쪽 허벅지가 스트레칭 되는 지점에서 일정 시간 유지 후 다리를 당겨와 처음 자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/320/MG/135789959bacbb74af1e1feb95c81bb7.mp4
양쪽 앞정강근 스트레칭,관절 움직임 /닫힌사슬운동 /능동,매우 쉬움,발목&발,매트,관절 움직임,발등을 바닥에 두고 무릎꿇은 자세로 앉습니다. 두 손으로 앞쪽 바닥을 짚고 양 무릎을 바닥에서 들어올려주세요. 발등은 바닥에서 떨어지지 않도록 합니다. 양쪽 정강이에서 발목 앞쪽으로 스트레칭 되는 것을 느낍니다. 무릎에 통증이 생기지 않게 주의하세요. 일정시간 유지 후 무릎을 내려 마무리합니다.,https://resources.mora.kr/static/exercise/media/148/MG/69c1e7cb642290595a00fed6a55b63fc.mp4
양쪽 종아리 근육 운동,근력 /열린사슬운동 /능동,쉬움,발목&발,"탄력밴드|  
매트",근력,두 발에 탄력밴드를 감고 손으로 잡아 누운 상태에서 발바닥으로 탄력밴드를 밀어주세요. 종아리 근육으로 발바닥 굽힘 하는 운동입니다. 밴드가 느슨해지지 않게 유지해주세요. 일정 시간 유지한 후 천천히 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/416/MG/6ee9f526f35461f3eab9be4100c3fd65.mp4
양쪽 종아리 근육 운동 2,근력 /열린사슬운동 /능동,쉬움,발목&발,"탄력밴드|  
매트",근력,두 발에 탄력밴드를 감고 손으로 잡아 누운 상태에서 발바닥으로 탄력밴드를 밀었다가 천천히 돌아옵니다. 종아리 근육으로 발바닥 굽힘 하는 운동입니다. 밴드가 느슨해지지 않도록 해주세요. 일정횟수 반복한 후 천천히 시작자세로 돌아옵니다.,https://resources.mora.kr/static/exercise/media/417/MG/2e837ff102af44877d8c8cd7b0afd546.mp4
양쪽 종아리 근육 운동 3,근력 /열린사슬운동 /능동,매우 쉬움,발목&발,매트,근력,무릎을 펴고 바로 누운 자세에서 발바닥을 바닥 쪽으로 내려줍니다. 종아리 근육의 힘으로 자세를 유지합니다. 일정 시간 유지한 후 천천히 시작 자세로 돌아와 마무리합니다.,https://resources.mora.kr/static/exercise/media/418/MG/1b94e119f91bac66d444b489595847db.mp4
